Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,RCAM,GtCO2/yr,0.302334,0.319671,0.338695,0.354836,0.379723,0.422665,0.484685,0.562296,0.64319,0.715409,0.776008,0.825297,0.867932,0.90821,0.945264,0.978106,1.00985,1.04319,1.0791,1.10866,1.13397,1.15585,1.1742,1.18879,1.19984,1.20745,1.21101
baseline,BRA,GtCO2/yr,1.57743,1.61117,1.69766,1.89469,2.0764,2.16589,2.09965,1.88254,1.62027,1.43116,1.3952,1.52838,1.62708,1.52227,1.36891,1.33625,1.3665,1.37299,1.36872,1.36648,1.36843,1.36846,1.36705,1.36589,1.36485,1.3635,1.36191
baseline,RSAM,GtCO2/yr,1.38348,1.54193,1.6286,1.61849,1.66825,1.90326,2.08526,2.01531,1.87236,1.85748,1.93738,2.03196,2.08671,2.07367,2.04481,2.05222,2.07886,2.09884,2.12252,2.13937,2.1548,2.16735,2.17718,2.18473,2.19009,2.1932,2.19377
baseline,NAF,GtCO2/yr,0.583268,0.654568,0.709556,0.749246,0.771958,0.784186,0.813166,0.881067,0.971263,1.06028,1.13373,1.18491,1.22818,1.27875,1.33617,1.39687,1.45952,1.52271,1.58691,1.63644,1.678,1.71268,1.74044,1.76106,1.775,1.78253,1.78254
baseline,WAF,GtCO2/yr,1.817,2.7146,3.14373,2.84563,2.42908,2.46555,2.51468,2.13005,1.79668,2.04224,2.67788,3.39877,4.13526,4.87939,5.63774,6.41802,7.21843,8.02544,8.80283,9.46858,10.0407,10.5331,10.9442,11.2707,11.5175,11.687,11.7653
baseline,EAF,GtCO2/yr,0.283526,0.457865,0.580821,0.597434,0.562341,0.542007,0.546164,0.57342,0.63314,0.738134,0.904692,1.14564,1.45718,1.82123,2.17909,2.48291,2.76452,3.06001,3.35227,3.59771,3.80637,3.98637,4.13694,4.25614,4.34584,4.4072,4.4351
baseline,SAF,GtCO2/yr,0.507151,0.551618,0.570226,0.564825,0.576466,0.615395,0.663731,0.700105,0.720941,0.727686,0.726048,0.721884,0.718257,0.717062,0.717931,0.720036,0.722789,0.72575,0.732825,0.735536,0.737701,0.73929,0.740323,0.7408,0.740752,0.740199,0.739082
baseline,WEU,GtCO2/yr,3.13174,2.99797,2.88041,2.8016,2.82277,2.98006,3.20641,3.43469,3.60853,3.69873,3.77117,3.88167,3.96085,3.94908,3.93859,4.02161,4.15203,4.26754,4.38827,4.47941,4.5617,4.63204,4.69064,4.7382,4.77518,4.80158,4.81545
baseline,CEU,GtCO2/yr,0.784933,0.762355,0.743841,0.754991,0.782275,0.803461,0.820008,0.838842,0.85193,0.850819,0.838752,0.819693,0.789841,0.74809,0.711154,0.694321,0.690785,0.690453,0.693028,0.693228,0.693224,0.693178,0.693086,0.692902,0.692635,0.692306,0.691917
baseline,TUR,GtCO2/yr,0.435783,0.492275,0.526456,0.534643,0.536013,0.547328,0.57194,0.607407,0.642679,0.667766,0.684499,0.697416,0.710924,0.726641,0.735316,0.729664,0.720076,0.717515,0.720837,0.720745,0.71962,0.718798,0.718163,0.717357,0.716418,0.715451,0.714452
baseline,UKR,GtCO2/yr,0.403864,0.401991,0.414305,0.452722,0.492802,0.501543,0.501451,0.51616,0.528857,0.521239,0.504426,0.492312,0.48422,0.477436,0.474098,0.476189,0.48077,0.484661,0.49024,0.493524,0.496538,0.499056,0.501103,0.502728,0.503948,0.50476,0.505103
baseline,STAN,GtCO2/yr,0.485141,0.518878,0.541252,0.547924,0.534434,0.50759,0.496127,0.520027,0.543924,0.538189,0.547462,0.610919,0.676803,0.691803,0.679602,0.673201,0.672948,0.673017,0.674837,0.674795,0.674846,0.674767,0.674592,0.674364,0.674085,0.673749,0.673361
baseline,RUS,GtCO2/yr,1.8782,1.99534,2.06885,2.06259,2.04728,2.0144,1.98231,1.96692,1.98011,2.01879,2.02395,1.95258,1.87168,1.84683,1.84159,1.81299,1.78293,1.77838,1.79622,1.79862,1.79789,1.79817,1.79902,1.79924,1.79898,1.79859,1.79807
baseline,ME,GtCO2/yr,2.00627,2.10534,2.20492,2.35467,2.53532,2.68526,2.82935,2.99561,3.15907,3.29093,3.39511,3.4864,3.59277,3.7333,3.88013,4.00504,4.12112,4.24501,4.38761,4.49125,4.57977,4.65603,4.71968,4.76984,4.80731,4.83256,4.84334
baseline,INDIA,GtCO2/yr,2.77719,3.39386,3.94252,4.42208,4.95246,5.64954,6.43839,7.22336,8.00166,8.76854,9.42403,9.8881,10.2423,10.5717,10.83,10.9704,11.0631,11.1825,11.3349,11.4367,11.5153,11.5784,11.6256,11.6549,11.6672,11.6638,11.6418
baseline,KOR,GtCO2/yr,0.784572,0.832656,0.856691,0.836668,0.807202,0.781654,0.755553,0.72687,0.695617,0.661813,0.623619,0.580376,0.53773,0.501437,0.472227,0.450211,0.43747,0.43482,0.438538,0.438412,0.43714,0.436261,0.435632,0.434835,0.433914,0.432985,0.432039
baseline,CHN,GtCO2/yr,11.3913,12.3409,12.9251,12.9914,12.8249,12.6067,12.2518,11.7412,11.0989,10.3544,9.52276,8.63679,7.81627,7.16824,6.67112,6.29238,6.07108,6.02973,6.0901,6.09626,6.08144,6.07408,6.07179,6.06699,6.06035,6.05397,6.04769
baseline,SEAS,GtCO2/yr,1.51417,1.8104,2.04459,2.17856,2.21853,2.20961,2.23554,2.35544,2.49986,2.59987,2.70257,2.84813,2.94657,2.92604,2.89772,2.97232,3.09886,3.20723,3.30676,3.38525,3.45314,3.50758,3.54895,3.57818,3.59596,3.60244,3.59579
baseline,INDO,GtCO2/yr,1.63506,1.70042,1.74641,1.80136,1.83489,1.79956,1.76064,1.78379,1.84662,1.9093,1.94238,1.93153,1.9103,1.91172,1.92591,1.93749,1.94747,1.95921,1.97666,1.98568,1.99162,1.9951,1.99609,1.99449,1.99045,1.9841,1.9751
baseline,JAP,GtCO2/yr,1.06462,1.01508,0.974279,0.948421,0.926567,0.930014,0.940235,0.952147,0.955065,0.940133,0.909777,0.870613,0.836028,0.816337,0.804041,0.79081,0.780512,0.777544,0.781914,0.781408,0.779969,0.778771,0.777712,0.776466,0.775065,0.773603,0.772076
baseline,OCE,GtCO2/yr,0.388396,0.370206,0.366642,0.416348,0.474703,0.503394,0.494142,0.45204,0.428632,0.461634,0.495072,0.476234,0.445469,0.447913,0.468229,0.483553,0.495427,0.509107,0.525883,0.538218,0.548509,0.557391,0.564811,0.570604,0.574862,0.577662,0.57875
baseline,RSAS,GtCO2/yr,0.417044,0.539118,0.66486,0.790828,0.93119,1.10398,1.32202,1.58888,1.87671,2.15999,2.45189,2.76982,3.11114,3.47034,3.84923,4.24935,4.66398,5.08128,5.49421,5.83442,6.12708,6.37882,6.58898,6.75603,6.88249,6.96964,7.01022
baseline,RSAF,GtCO2/yr,0.786528,0.71864,0.78343,1.12306,1.40866,1.32757,1.07381,0.906994,0.878374,0.98079,1.17317,1.40734,1.63873,1.83824,2.03219,2.25027,2.48378,2.71598,2.94303,3.13052,3.29187,3.43011,3.54495,3.63579,3.70402,3.75035,3.7708
relative_abatement,CAN,fraction_of_baseline_emissions,0.0130554,0.264534,0.531504,0.680141,0.725517,0.762744,0.794396,0.821331,0.845001,0.866972,0.887306,0.905979,0.922935,0.93804,0.951434,0.962892,0.971329,0.907812,0.91127,0.913773,0.915906,0.917627,0.918988,0.92004,0.920818,0.921337,0.921564
relative_abatement,USA,fraction_of_baseline_emissions,0.00622401,0.21787,0.457812,0.724717,0.801247,0.83873,0.868495,0.892832,0.913181,0.93052,0.945109,0.957028,0.966493,0.973513,0.977915,0.979582,0.978061,0.890678,0.892883,0.893994,0.894919,0.895701,0.896342,0.896836,0.897195,0.897429,0.897517
relative_abatement,MEX,fraction_of_baseline_emissions,0.00924306,0.270428,0.533093,0.591054,0.643474,0.690201,0.733164,0.773716,0.811994,0.847794,0.88118,0.912315,0.94124,0.96787,0.99193,1.01295,1.03058,0.993091,0.993332,0.99352,0.993676,0.993803,0.993906,0.993985,0.994043,0.994083,0.994101
relative_abatement,RCAM,fraction_of_baseline_emissions,0.00903743,0.290675,0.445626,0.501843,0.554659,0.603708,0.650064,0.69451,0.737188,0.778099,0.81726,0.854684,0.890236,0.92362,0.954443,0.982235,1.00645,0.98804,0.988438,0.988747,0.988998,0.989207,0.989375,0.989506,0.989603,0.989668,0.989699
relative_abatement,BRA,fraction_of_baseline_emissions,0.00871031,0.265705,0.535411,0.784535,0.84838,0.9029,0.951365,0.996609,1.03919,1.07878,1.11554,1.14922,1.18005,1.20878,1.23479,1.25692,1.27634,1.23068,1.2314,1.23178,1.23145,1.23145,1.23168,1.23188,1.23206,1.23229,1.23256
relative_abatement,RSAM,fraction_of_baseline_emissions,0.00875078,0.327069,0.575252,0.767347,0.837726,0.899312,0.954177,1.0058,1.05495,1.10075,1.14302,1.18198,1.21795,1.25108,1.28065,1.30586,1.328,1.28747,1.28427,1.28203,1.28001,1.27839,1.27713,1.27617,1.2755,1.27511,1.27503
relative_abatement,NAF,fraction_of_baseline_emissions,0.00561421,0.264756,0.293721,0.331684,0.366638,0.398306,0.427654,0.455377,0.48163,0.506359,0.529237,0.550086,0.568969,0.585825,0.600483,0.612798,0.621561,0.56062,0.578396,0.591156,0.601281,0.609356,0.615585,0.620086,0.623071,0.624663,0.624666
relative_abatement,WAF,fraction_of_baseline_emissions,0.00423812,0.294237,0.328264,0.374561,0.42109,0.466695,0.511983,0.558488,0.60643,0.654752,0.702589,0.749457,0.794595,0.83744,0.877896,0.915318,0.947216,0.925734,0.932293,0.937053,0.94064,0.943415,0.94554,0.947118,0.948251,0.949002,0.949341
relative_abatement,EAF,fraction_of_baseline_emissions,0.00575694,0.229421,0.256144,0.292838,0.329879,0.366997,0.404672,0.443251,0.482697,0.522747,0.563053,0.603158,0.642299,0.679896,0.715941,0.749932,0.779064,0.734847,0.757964,0.774476,0.786839,0.796464,0.803872,0.809365,0.813299,0.815899,0.817057
relative_abatement,SAF,fraction_of_baseline_emissions,0.0110589,0.310458,0.535986,0.596493,0.651041,0.698283,0.739666,0.776994,0.811128,0.842601,0.871674,0.898416,0.922659,0.944061,0.96228,0.977118,0.988792,0.942755,0.943308,0.943518,0.943684,0.943805,0.943883,0.94392,0.943916,0.943874,0.94379
relative_abatement,WEU,fraction_of_baseline_emissions,0.00582841,0.216537,0.456374,0.574605,0.617544,0.654114,0.685881,0.714227,0.740002,0.763877,0.785701,0.80494,0.821703,0.836459,0.849313,0.859961,0.867371,0.808249,0.813524,0.817319,0.820614,0.823338,0.825545,0.827296,0.828634,0.829576,0.830067
relative_abatement,CEU,fraction_of_baseline_emissions,0.00843699,0.227788,0.472378,0.582049,0.633586,0.676788,0.713845,0.746864,0.777361,0.806385,0.833324,0.857236,0.878083,0.896103,0.911452,0.924063,0.933899,0.889907,0.890316,0.890348,0.890348,0.890341,0.890326,0.890297,0.890255,0.890203,0.890142
