Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline_GDP,TUR,USD2005 * trillion / year,1.35505,1.6187,1.89464,2.18024,2.47721,2.78748,3.10948,3.4412,3.7826,4.13284,4.48612,4.83687,5.18552,5.53306,5.87671,6.21512,6.55653,6.90474,7.23635,7.52756,7.78021,8.00069,8.1881,8.34062,8.46003,8.54724,8.59599
baseline_GDP,UKR,USD2005 * trillion / year,0.514806,0.609833,0.718391,0.831452,0.943623,1.05228,1.16223,1.27958,1.40819,1.54856,1.68994,1.82208,1.94806,2.07284,2.19561,2.31527,2.4354,2.55814,2.67519,2.77793,2.86702,2.94479,3.0109,3.0647,3.10682,3.13758,3.15477
baseline_GDP,STAN,USD2005 * trillion / year,0.589091,0.783268,0.992307,1.20021,1.39576,1.571,1.72631,1.86706,2.01028,2.16965,2.33399,2.49013,2.64213,2.79676,2.95458,3.11499,3.27895,3.44538,3.60332,3.74219,3.86281,3.96803,4.05743,4.1302,4.18718,4.22879,4.25205
baseline_GDP,RUS,USD2005 * trillion / year,2.95513,3.4687,4.00216,4.51731,4.97073,5.33657,5.66453,6.01455,6.41192,6.85959,7.30564,7.70096,8.06236,8.41721,8.76898,9.11719,9.46932,9.82815,10.1697,10.4696,10.7299,10.9571,11.1501,11.3073,11.4303,11.5201,11.5703
baseline_GDP,ME,USD2005 * trillion / year,3.70371,4.5031,5.39119,6.34335,7.33269,8.33924,9.373,10.4533,11.6065,12.8504,14.1612,15.5129,16.9131,18.3744,19.8949,21.4693,23.0907,24.732,26.2864,27.6542,28.843,29.8798,30.7605,31.4774,32.0388,32.4488,32.6779
baseline_GDP,INDIA,USD2005 * trillion / year,6.85778,9.22264,12.0082,15.1754,18.7397,22.719,27.0884,31.8133,36.8648,42.1995,47.7107,53.292,58.8996,64.4924,69.9783,75.3073,80.6495,86.1108,91.3206,95.893,99.8575,103.318,106.26,108.654,110.529,111.898,112.663
baseline_GDP,KOR,USD2005 * trillion / year,1.89921,2.21496,2.51764,2.78351,3.01389,3.21506,3.38826,3.53377,3.65303,3.74893,3.82893,3.90029,3.96495,4.02274,4.0703,4.1058,4.13659,4.16988,4.20288,4.23145,4.25591,4.27736,4.29568,4.31057,4.3222,4.3307,4.33545
baseline_GDP,CHN,USD2005 * trillion / year,24.5335,32.5733,40.2325,46.7089,52.2061,57.0457,61.0155,63.9065,66.0571,67.8444,69.2547,70.2119,70.7824,71.0677,71.1663,71.1691,71.1393,71.1212,71.1124,71.102,71.0909,71.0818,71.0747,71.0688,71.0639,71.0605,71.0586
baseline_GDP,SEAS,USD2005 * trillion / year,2.99228,3.74032,4.57008,5.45942,6.41866,7.46168,8.58398,9.77812,11.0435,12.3777,13.7656,15.1898,16.6386,18.1021,19.572,21.0463,22.5453,24.0699,25.5187,26.7919,27.8974,28.8618,29.6814,30.3484,30.8707,31.2521,31.4654
baseline_GDP,INDO,USD2005 * trillion / year,1.74058,2.33761,3.02417,3.77199,4.57415,5.42706,6.31912,7.23671,8.16614,9.09483,10.0147,10.9213,11.8203,12.716,13.597,14.4561,15.3189,16.2003,17.0407,17.7785,18.4182,18.9766,19.4514,19.8377,20.1401,20.361,20.4845
baseline_GDP,JAP,USD2005 * trillion / year,4.30036,4.53306,4.74185,4.89816,5.02542,5.15448,5.29402,5.44553,5.60412,5.76318,5.91593,6.05805,6.19547,6.33492,6.47629,6.61843,6.76304,6.91008,7.0498,7.1726,7.27921,7.37222,7.45126,7.51559,7.56597,7.60275,7.62332
baseline_GDP,OCE,USD2005 * trillion / year,1.16657,1.33173,1.49989,1.67006,1.84826,2.04008,2.24211,2.45126,2.6745,2.91773,3.17234,3.42795,3.68144,3.93187,4.17959,4.42607,4.67602,4.93047,5.17245,5.38506,5.5696,5.73062,5.86746,5.97883,6.06603,6.12972,6.16532
baseline_GDP,RSAS,USD2005 * trillion / year,1.345,1.74856,2.24616,2.84249,3.56145,4.42901,5.46006,6.66887,8.0782,9.70971,11.5722,13.6664,15.9733,18.4788,21.2098,24.1778,27.2936,30.4259,33.3773,35.9791,38.2443,40.2186,41.8946,43.2591,44.3281,45.1086,45.5448
baseline_GDP,RSAF,USD2005 * trillion / year,0.480387,0.616801,0.777012,0.968851,1.21861,1.55513,1.99896,2.56929,3.28822,4.17814,5.25988,6.55127,8.05979,9.79672,11.7989,14.0763,16.5066,18.9357,21.2144,23.2263,24.9806,26.5087,27.8052,28.8611,29.6883,30.2924,30.6299
baseline_emissions,CAN,gigatCO2 / year,0.511577,0.52167,0.547763,0.581413,0.594306,0.567937,0.542928,0.559884,0.600207,0.634257,0.647446,0.633692,0.605914,0.581114,0.573631,0.591655,0.62143,0.647458,0.669228,0.689289,0.707467,0.72308,0.736146,0.746839,0.755265,0.761405,0.764825
baseline_emissions,USA,gigatCO2 / year,5.39382,5.17224,4.9841,4.9472,5.01385,5.10596,5.18926,5.24312,5.2575,5.23023,5.18002,5.1344,5.13521,5.20926,5.30894,5.38353,5.44441,5.51187,5.57987,5.63841,5.68824,5.73203,5.76951,5.79994,5.8237,5.84107,5.85079
