Variable,Region,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
baseline,MEX,GtCO2/yr,0.572878,0.588919,0.619673,0.666484,0.71329,0.733723,0.744253,0.765416,0.797934,0.836265,0.868447,0.884954,0.891428,0.897179,0.912416,0.943749,0.982833,1.01379,1.04752,1.07942,1.10765,1.13217,1.15294,1.16992,1.18328,1.19306,1.19857
baseline,RCAM,GtCO2/yr,0.302334,0.319671,0.338695,0.35473,0.379578,0.422469,0.484407,0.561888,0.642588,0.714555,0.774856,0.82381,0.866074,0.905926,0.942489,0.974779,1.00461,1.0318,1.06055,1.09162,1.11852,1.14215,1.16238,1.17895,1.19202,1.20167,1.20728
baseline,BRA,GtCO2/yr,1.57743,1.61117,1.69766,1.89471,2.07453,2.1623,2.09549,1.87843,1.61666,1.42804,1.39219,1.52487,1.62264,1.5174,1.36432,1.33176,1.36187,1.3575,1.35045,1.34978,1.35347,1.35542,1.35602,1.35691,1.35797,1.35875,1.3593
baseline,RSAM,GtCO2/yr,1.38348,1.54193,1.6286,1.6185,1.66657,1.90094,2.08201,2.0115,1.86854,1.85354,1.93292,2.02665,2.08048,2.0667,2.03728,2.044,2.07037,2.07062,2.08684,2.10658,2.12524,2.14123,2.15465,2.16588,2.17494,2.18178,2.18606
baseline,NAF,GtCO2/yr,0.583268,0.654568,0.709434,0.749082,0.771766,0.783987,0.812973,0.880879,0.971073,1.06008,1.13353,1.18474,1.22807,1.27873,1.33628,1.39714,1.45998,1.51873,1.58398,1.63618,1.68104,1.71953,1.75151,1.77672,1.79554,1.80817,1.81343
baseline,WAF,GtCO2/yr,1.817,2.7146,3.14289,2.84467,2.42832,2.46499,2.51429,2.12993,1.7969,2.04293,2.67921,3.40081,4.13811,4.88316,5.64257,6.42409,7.21207,8.00708,8.75861,9.45289,10.0585,10.5888,11.0414,11.4119,11.7039,11.9195,12.0432
baseline,EAF,GtCO2/yr,0.283526,0.457865,0.580791,0.597395,0.562318,0.542022,0.546234,0.573565,0.633393,0.738554,0.905375,1.14673,1.45887,1.82372,2.18253,2.48708,2.76782,3.06447,3.35367,3.60898,3.82945,4.02295,4.18833,4.32327,4.42929,4.50728,4.55165
baseline,SAF,GtCO2/yr,0.507151,0.551618,0.570227,0.564188,0.575717,0.614468,0.662555,0.698655,0.71924,0.725779,0.723976,0.719666,0.71589,0.714525,0.715196,0.717072,0.719666,0.715166,0.720799,0.725019,0.728788,0.732103,0.734963,0.737343,0.739251,0.740694,0.741604
baseline,WEU,GtCO2/yr,3.13174,2.99797,2.88042,2.80161,2.82055,2.9773,3.20282,3.43007,3.60279,3.69193,3.76335,3.87265,3.95047,3.93753,3.926,4.00755,4.13578,4.21978,4.33248,4.42561,4.51034,4.58367,4.64572,4.69706,4.73807,4.76866,4.78686
baseline,CEU,GtCO2/yr,0.784933,0.762355,0.743841,0.754996,0.781667,0.802678,0.819045,0.837688,0.850574,0.849272,0.837039,0.817837,0.787878,0.746084,0.709137,0.692246,0.688591,0.683902,0.685725,0.686559,0.687238,0.687925,0.688604,0.68922,0.689773,0.690276,0.690728
baseline,TUR,GtCO2/yr,0.435783,0.492275,0.526457,0.534365,0.535675,0.54693,0.571464,0.606823,0.641957,0.666894,0.683475,0.696236,0.709569,0.725079,0.733529,0.727681,0.717909,0.711493,0.714299,0.71471,0.714136,0.713897,0.713867,0.713681,0.713371,0.713039,0.712676
baseline,UKR,GtCO2/yr,0.403864,0.401991,0.414305,0.452365,0.492274,0.500847,0.500623,0.515177,0.527682,0.519908,0.502997,0.490791,0.48258,0.475654,0.472144,0.474011,0.478283,0.477651,0.482014,0.485688,0.489102,0.492064,0.49459,0.496715,0.498445,0.499773,0.500632
baseline,STAN,GtCO2/yr,0.485141,0.518878,0.540991,0.547586,0.534041,0.507173,0.495691,0.519529,0.543325,0.53751,0.546707,0.609964,0.675494,0.690159,0.677764,0.67121,0.670659,0.666831,0.668266,0.668742,0.669335,0.669827,0.670246,0.670625,0.670958,0.671236,0.671461
baseline,RUS,GtCO2/yr,1.8782,1.99534,2.06886,2.05961,2.04371,2.01032,1.9778,1.96197,1.97461,2.01254,2.01693,1.94513,1.86406,1.83884,1.83292,1.80365,1.77265,1.75204,1.76846,1.77208,1.77285,1.77476,1.7773,1.77925,1.78075,1.78214,1.78338
baseline,ME,GtCO2/yr,2.00627,2.10534,2.20492,2.35316,2.53334,2.68276,2.82631,2.99195,3.15469,3.28578,3.38915,3.47959,3.58496,3.72421,3.86943,3.99251,4.10619,4.20197,4.3382,4.44319,4.53382,4.61278,4.67963,4.73339,4.77474,4.80411,4.81916
